@relation trainSet

@attribute coverage numeric
@attribute dependent_and_referenced numeric
@attribute distinct_dependent_values numeric
@attribute multi_dependent numeric
@attribute multi_referenced numeric
@attribute foreignKey {FOREIGN_KEY,UNKNOWN,NO_FOREIGN_KEY}

@data
3.190837955528015E-7,0,1,163,96,NO_FOREIGN_KEY
0.2,0,1,172,62,NO_FOREIGN_KEY
0.2,0,1,141,52,NO_FOREIGN_KEY
0.0014727540500736377,0,2,53,148,NO_FOREIGN_KEY
1.3517166801838335E-4,0,1,154,89,NO_FOREIGN_KEY
3.7380382775119616E-5,0,2,2,169,NO_FOREIGN_KEY
0.3333333333333333,0,1,163,75,NO_FOREIGN_KEY
0.0022988505747126436,0,1,167,90,NO_FOREIGN_KEY
0.009358288770053475,0,7,27,75,NO_FOREIGN_KEY
1.0,0,1,160,61,NO_FOREIGN_KEY
0.2,0,1,144,55,NO_FOREIGN_KEY
0.0013012361743656475,0,2,45,163,NO_FOREIGN_KEY
0.006289308176100629,0,1,176,63,NO_FOREIGN_KEY
0.0012787723785166241,0,1,163,79,NO_FOREIGN_KEY
0.0022988505747126436,0,1,150,61,NO_FOREIGN_KEY
0.1,0,1,147,60,NO_FOREIGN_KEY
1.0,0,1,155,83,NO_FOREIGN_KEY
1.7274140611504577E-4,0,1,160,53,NO_FOREIGN_KEY
1.4971180477580656E-4,0,2,41,156,NO_FOREIGN_KEY
0.2,0,2,63,105,NO_FOREIGN_KEY
1.992303730688351E-6,0,2,62,109,NO_FOREIGN_KEY
7.485590238790328E-5,0,1,144,156,NO_FOREIGN_KEY
0.034482758620689655,0,1,178,62,NO_FOREIGN_KEY
8.12878598207115E-7,0,1,170,79,NO_FOREIGN_KEY
0.1111111111111111,0,1,143,92,NO_FOREIGN_KEY
1.1519012129519773E-5,0,1,176,71,NO_FOREIGN_KEY
0.25,0,1,155,56,NO_FOREIGN_KEY
8.119079837618403E-4,0,3,55,151,NO_FOREIGN_KEY
5.515719801434088E-4,86,4,52,177,NO_FOREIGN_KEY
0.1,0,1,176,105,NO_FOREIGN_KEY
2.48015873015873E-4,65,1,157,86,NO_FOREIGN_KEY
0.5,0,1,168,65,NO_FOREIGN_KEY
1.70590242238144E-4,0,2,63,132,NO_FOREIGN_KEY
3.7380382775119616E-5,0,2,2,169,NO_FOREIGN_KEY
8.12878598207115E-7,0,1,157,56,NO_FOREIGN_KEY
1.072655421066416E-5,0,12,40,140,NO_FOREIGN_KEY
0.14285714285714285,0,1,159,87,NO_FOREIGN_KEY
0.25,0,1,165,86,NO_FOREIGN_KEY
1.0407993338884263E-4,65,1,157,56,NO_FOREIGN_KEY
3.0377593487043958E-5,0,1,167,67,NO_FOREIGN_KEY
0.1111111111111111,0,1,144,59,NO_FOREIGN_KEY
3.026878682702397E-5,0,3,50,160,NO_FOREIGN_KEY
6.538388710870359E-8,0,1,155,60,NO_FOREIGN_KEY
0.09090909090909091,0,1,168,63,NO_FOREIGN_KEY
0.5,0,1,165,58,NO_FOREIGN_KEY
0.25,0,1,167,94,NO_FOREIGN_KEY
3.532969672988327E-6,66,1,161,78,NO_FOREIGN_KEY
2.2771003404265007E-6,0,1,167,81,NO_FOREIGN_KEY
5.3810675639847944E-8,58,1,51,183,NO_FOREIGN_KEY
7.877874045398613E-6,90,5,42,209,NO_FOREIGN_KEY
0.010245901639344262,90,5,42,139,NO_FOREIGN_KEY
0.007782101167315175,73,2,61,126,NO_FOREIGN_KEY
3.190837955528015E-7,0,1,154,96,NO_FOREIGN_KEY
